country,country_name,type,level,year,amount
HU,Hungary,Energy supplied,Total,2016,42259.0
HU,Hungary,Energy supplied,Total,2017,43554.0
HU,Hungary,Energy supplied,Total,2018,44098.104
HU,Hungary,Exports,Total,2016,5240.0
HU,Hungary,Exports,Total,2017,6925.0
HU,Hungary,Exports,Total,2018,4265.07
HU,Hungary,Imports,Total,2016,17951.0
HU,Hungary,Imports,Total,2017,19803.0
HU,Hungary,Imports,Total,2018,18613.295
HU,Hungary,Total net production,Total,2016,29548.0
HU,Hungary,Total net production,Total,2017,30676.0
HU,Hungary,Total net production,Total,2018,29749.879
IE,Ireland,Energy absorbed by pumping,Total,2016,532.404
IE,Ireland,Energy absorbed by pumping,Total,2017,398.643
IE,Ireland,Energy absorbed by pumping,Total,2018,499.328
IE,Ireland,Energy supplied,Total,2016,28445.088000000003
IE,Ireland,Energy supplied,Total,2017,29009.829
IE,Ireland,Energy supplied,Total,2018,28707.828
IE,Ireland,Exports,Total,2016,1583.011
IE,Ireland,Exports,Total,2017,1794.91
IE,Ireland,Exports,Total,2018,1649.2490000000005
IE,Ireland,Imports,Total,2016,871.263
IE,Ireland,Imports,Total,2017,1116.408
IE,Ireland,Imports,Total,2018,1621.5190000000002
IE,Ireland,Total net production,Total,2016,29689.24
IE,Ireland,Total net production,Total,2017,30086.974
IE,Ireland,Total net production,Total,2018,29234.886
IT,Italy,Energy absorbed by pumping,Total,2016,2468.0
IT,Italy,Energy absorbed by pumping,Total,2017,2478.162
IT,Italy,Energy absorbed by pumping,Total,2018,2233.0
IT,Italy,Energy supplied,Total,2016,314261.622
IT,Italy,Energy supplied,Total,2017,320548.137
IT,Italy,Energy supplied,Total,2018,321910.0
IT,Italy,Exports,Total,2016,6154.0
IT,Italy,Exports,Total,2017,5134.231
IT,Italy,Exports,Total,2018,3270.0
IT,Italy,Imports,Total,2016,43181.0
IT,Italy,Imports,Total,2017,42894.881
IT,Italy,Imports,Total,2018,47179.0
IT,Italy,Total net production,Total,2016,279702.622
IT,Italy,Total net production,Total,2017,285265.649
IT,Italy,Total net production,Total,2018,280234.0
LT,Lithuania,Energy absorbed by pumping,Total,2016,790.0
LT,Lithuania,Energy absorbed by pumping,Total,2017,799.1
LT,Lithuania,Energy absorbed by pumping,Total,2018,726.3199999999999
LT,Lithuania,Energy supplied,Total,2016,11536.0
LT,Lithuania,Energy supplied,Total,2017,11874.2
LT,Lithuania,Energy supplied,Total,2018,12089.188000000002
LT,Lithuania,Exports,Total,2016,2831.0
LT,Lithuania,Exports,Total,2017,3249.0
LT,Lithuania,Exports,Total,2018,3215.07
LT,Lithuania,Imports,Total,2016,11106.0
LT,Lithuania,Imports,Total,2017,11926.2
LT,Lithuania,Imports,Total,2018,12847.483
LT,Lithuania,Total net production,Total,2016,4051.0
LT,Lithuania,Total net production,Total,2017,3996.1
LT,Lithuania,Total net production,Total,2018,3183.0950000000003
LU,Luxembourg,Energy absorbed by pumping,Total,2016,1942.514
LU,Luxembourg,Energy absorbed by pumping,Total,2017,1833.679
