country,country_name,type,year,value,ratio
NO,Norway,Other,2016,297.0,0.00197912918315941
ME,Montenegro,Conventional thermal,2016,1216.0,0.4022494211048627
ME,Montenegro,Nuclear,2016,0.0,0.0
ME,Montenegro,Hydro,2016,1807.0,0.5977505788951373
ME,Montenegro,Pumped hydro power,2016,0.0,0.0
ME,Montenegro,Wind,2016,0.0,0.0
ME,Montenegro,Solar,2016,0.0,0.0
ME,Montenegro,Geothermal,2016,0.0,0.0
ME,Montenegro,Other,2016,0.0,0.0
MK,North Macedonia,Conventional thermal,2016,3281.378,0.6209729170802383
MK,North Macedonia,Nuclear,2016,0.0,0.0
MK,North Macedonia,Hydro,2016,1869.694,0.3538237098034481
MK,North Macedonia,Pumped hydro power,2016,0.0,0.0
MK,North Macedonia,Wind,2016,109.482,0.0207185386468059
MK,North Macedonia,Solar,2016,23.699,0.004484834469507801
MK,North Macedonia,Geothermal,2016,0.0,0.0
MK,North Macedonia,Other,2016,0.0,0.0
AL,Albania,Conventional thermal,2016,0.0,0.0
AL,Albania,Nuclear,2016,0.0,0.0
AL,Albania,Hydro,2016,7136.0,1.0
AL,Albania,Pumped hydro power,2016,0.0,0.0
AL,Albania,Wind,2016,0.0,0.0
AL,Albania,Solar,2016,0.0,0.0
AL,Albania,Geothermal,2016,0.0,0.0
AL,Albania,Other,2016,0.0,0.0
RS,Serbia,Conventional thermal,2016,25161.0,0.6735464182460649
RS,Serbia,Nuclear,2016,0.0,0.0
RS,Serbia,Hydro,2016,11429.0,0.30594817432273264
RS,Serbia,Pumped hydro power,2016,728.0,0.01948816789806189
RS,Serbia,Wind,2016,26.0,0.0006960059963593533
RS,Serbia,Solar,2016,12.0,0.00032123353678124
RS,Serbia,Geothermal,2016,0.0,0.0
RS,Serbia,Other,2016,0.0,0.0
TR,Turkey,Conventional thermal,2016,174166.0,0.664915609478615
TR,Turkey,Nuclear,2016,0.0,0.0
TR,Turkey,Hydro,2016,66686.0,0.2545879352668772
TR,Turkey,Pumped hydro power,2016,0.0,0.0
TR,Turkey,Wind,2016,15381.0,0.058720226619377945
TR,Turkey,Solar,2016,1013.0,0.0038673421471575225
TR,Turkey,Geothermal,2016,4010.0,0.01530902468914281
TR,Turkey,Other,2016,681.0,0.0025998617988294897
BA,Bosnia & Herzegovina,Conventional thermal,2016,10971.0,0.6605454873863568
BA,Bosnia & Herzegovina,Nuclear,2016,0.0,0.0
BA,Bosnia & Herzegovina,Hydro,2016,5614.0,0.3380095129146848
BA,Bosnia & Herzegovina,Pumped hydro power,2016,0.0,0.0
BA,Bosnia & Herzegovina,Wind,2016,0.0,0.0
BA,Bosnia & Herzegovina,Solar,2016,24.0,0.0014449996989583961
BA,Bosnia & Herzegovina,Geothermal,2016,0.0,0.0
BA,Bosnia & Herzegovina,Other,2016,0.0,0.0
UA,Ukraine,Conventional thermal,2016,65415.0,0.42609528276077696
UA,Ukraine,Nuclear,2016,75931.0,0.4945936087336017
UA,Ukraine,Hydro,2016,9025.0,0.05878636286655984
UA,Ukraine,Pumped hydro power,2016,1633.0,0.010636911973528224
UA,Ukraine,Wind,2016,949.0,0.006181524472062636
UA,Ukraine,Solar,2016,490.0,0.003191724964500202
UA,Ukraine,Geothermal,2016,0.0,0.0
UA,Ukraine,Other,2016,79.0,0.0005145842289704407
GE,Georgia,Conventional thermal,2016,2135.0,0.18785745710514737
GE,Georgia,Nuclear,2016,0.0,0.0
GE,Georgia,Hydro,2016,9221.0,0.8113506379234492
GE,Georgia,Pumped hydro power,2016,0.0,0.0
GE,Georgia,Wind,2016,9.0,0.0007919049714034316
GE,Georgia,Solar,2016,0.0,0.0
GE,Georgia,Geothermal,2016,0.0,0.0
GE,Georgia,Other,2016,0.0,0.0
