country,country_name,year,Conventional thermal,Nuclear,Hydro,Pumped hydro power,Wind,Solar,Geothermal,Other,total,renewable,renewable rate,major generation,Total net production,Imports,Exports,Energy absorbed by pumping,Energy supplied,sum,import rate,export rate,dependence
NL,Netherlands,2016,97271.8,3750,100.079,0,8170.462,1601.811,0,138.101,111032.253,9872.352,8.89142725,Conventional thermal,111032.253,24257.626,19343.254,0,115946.625,135289.879,17.93011139,14.29763567,3.632475715
NL,Netherlands,2017,97231.607,3277.664,60.757,0,10568.797,2204.344,0,121.865,113465.034,12833.898,11.31088367,Conventional thermal,113465.034,22457.715,18951.503,0,116971.246,135922.749,16.52241083,13.94284852,2.579562307
NL,Netherlands,2018,94450,3313.371,86,0,12279,2423,0,0,112551.371,14788,13.13888926,Conventional thermal,112551.371,24018,18157,0,118412.371,136569.371,17.58666663,13.29507478,4.291591853
AT,Austria,2016,18065.01,0,40772.188,2883.861,4968.262,1040.698,0.02,14.692,67744.731,49665.029,73.31201743,renewable,64860.87,26366.16,19206.889,4253.498,67766.643,91227.03,28.90169723,21.05394531,7.847751922
AT,Austria,2017,20135.846,0,40098.554,3683.851,6239.497,1204.311,0.086,11.868,71374.013,51226.299,71.77163907,renewable,67690.162,29362.427,22816.512,5610.607,68625.47,97052.589,30.25414088,23.50943157,6.744709304
AT,Austria,2018,16350.754,0,37217.295,13397.582,5857.059,0,0,6162.686,78985.376,56471.936,71.49669833,renewable,65587.792,28076.136,19129.33,5116.052,69418.546,93663.928,29.97539885,20.42336939,9.552029464
PL,Poland,2016,136945,0,2591,474,12279,124,0,64,152477,15468,10.14448081,Conventional thermal,152003,14017,12018,744,153258,166020,8.44295868,7.238886881,1.204071799
PL,Poland,2017,137068.099,0,2999.86,448.193,14574.192,165.463,0,61.73,155317.537,18187.708,11.71001572,Conventional thermal,154869.344,13271,10984,734.88,156421.464,168140.344,7.892811258,6.532637997,1.360173261
PL,Poland,2018,138957.387,0,2353.336,402.36,12487.345,298.432,0,0,154498.86,15541.473,10.05928005,Conventional thermal,154096.5,13815.803,8121.301,660.599,159130.403,167912.303,8.22798732,4.836632489,3.391354831
PT,Portugal,2016,28702,0,16794.113,1186,12343.336,870.603,152,0,60048.052,31346.052,52.20161347,renewable,58862.052,4616,9701,1520,52257.052,63478.052,7.271804749,15.28244755,-8.010642797
PT,Portugal,2017,36882.017,0,7489.938,1699.948,12112.464,991.546,193.007,0,59368.92,22486.903,37.8765573,Conventional thermal,57668.978,5505.732,8189.704,2223.899,52761.107,63174.71,8.71508868,12.96357989,-4.248491208
PT,Portugal,2018,30887,0,13489,3120,12530,974,205,0,61205,30318,49.5351687,Conventional thermal,58085,5668,8326,1565,53862,63753,8.890562013,13.05977758,-4.169215566
RO,Romania,2016,23304,10366,18239,507,6527,1820,0,0,60763,27093,44.5879894,renewable,60256,4177,9194,660,54579,64433,6.482702963,14.26908572,-7.786382754
RO,Romania,2017,24923.065,10557.906,14687.531,357.788,7331.254,1855.674,0,0,59713.218,24232.247,40.58104355,Conventional thermal,59355.43,4841.754,7735.38,466.424,55995.38,64197.184,7.542003712,12.04940703,-4.507403315
RO,Romania,2018,22611,10443,17653,0,6261,1754,0,0,58722,25668,43.71104526,renewable,58722,3695,6239,0,56178,62417,5.919861576,9.995674255,-4.075812679
SI,Slovenia,2016,5121,5431,4721,278,6,267,0,0,15824,5272,33.31648129,Nuclear,15546,8359,9535,373,13997,23905,34.96758,39.88705292,-4.919472914
SI,Slovenia,2017,5054.64,5967.827,4085.015,271.498,5.716,283.678,0,0,15668.374,4645.907,29.65149415,Nuclear,15396.876,9132.532,9648.192,365.3,14515.916,24529.408,37.23095152,39.33316287,-2.102211354
SI,Slovenia,2018,4703.068,5489.906,4831.147,187.919,6.02,254.113,0,0,15472.173,5279.199,34.12060478,Nuclear,15284.254,8930.238,9432.404,252.435,14529.653,24214.492,36.87972475,38.95354897,-2.073824221
SK,Slovakia,2016,6065,13732,4549,247,6,533,0,112,25244,5335,21.13373475,Nuclear,24997,13249,10598,334,27314,38246,34.64153114,27.71008733,6.931443811
SK,Slovakia,2017,6417,14016,4620,299,6,506,0,127,25991,5431,20.89569466,Nuclear,25692,15563,12535,418,28302,41255,37.72391225,30.38419586,7.339716398
SK,Slovakia,2018,5426,13807,3838,293,5,586,0,55,24010,4722,19.6668055,Nuclear,23717,12427,8746,401,26997,36144,34.38191678,24.19765383,10.18426295
FI,Finland,2016,24950,22280,15634,0,3068,19,0,249,66200,18721,28.27945619,Conventional thermal,66200,22110,3159,0,85151,88310,25.03680217,3.577171328,21.45963085
FI,Finland,2017,23681,21574,14610,0,4795,43,0,335,65038,19448,29.90251853,Conventional thermal,65038,22204,1779,0,85463,87242,25.45104422,2.039155453,23.41188877
FI,Finland,2018,26425,21890,13158.674,0,5861,89,0,0,67423.674,19108.674,28.34119363,Conventional thermal,67423.674,22548,2611,0,87360.674,89971.674,25.06122093,2.902024475,22.15919646
SE,Sweden,2016,14621,60524,61764,119,15479,143,0,0,152650,77505,50.77301015,renewable,152531,14287,26022,170,140626,166818,8.564423503,15.59903608,-7.034612572
SE,Sweden,2017,15003,63008,64676,25,17609,230,0,0,160551,82540,51.41045524,renewable,160526,11896,30888,36,141498,172422,6.899351591,17.91418728,-11.01483569
SE,Sweden,2018,14869.986,65801.155,60977.602,0,16638.345,0,0,0,158287.088,77615.947,49.03492002,renewable,158287.088,14441.815,31671.103,56.301,141001.499,172728.903,8.360971875,18.33572868,-9.974756801
UK,NA,2016,203165.188,65149.08,8286.51,2948.89,37262.699,10410.948,0,0,327223.315,58909.047,18.00270467,Conventional thermal,324274.434,20017.923,2272.866,4014.34,338005.151,344292.357,5.814222301,0.660155811,5.15406649
