country,country_name,type,year,value,ratio,conventional_thermal,renewable_rate
ME,Montenegro,Other,2016,0,0,0.402249421,0.597750579
MK,North Macedonia,Conventional thermal,2016,3281.378,0.620972917,0.620972917,0.379027083
MK,North Macedonia,Nuclear,2016,0,0,0.620972917,0.379027083
MK,North Macedonia,Hydro,2016,1869.694,0.35382371,0.620972917,0.379027083
MK,North Macedonia,Pumped hydro power,2016,0,0,0.620972917,0.379027083
MK,North Macedonia,Wind,2016,109.482,0.020718539,0.620972917,0.379027083
MK,North Macedonia,Solar,2016,23.699,0.004484834,0.620972917,0.379027083
MK,North Macedonia,Geothermal,2016,0,0,0.620972917,0.379027083
MK,North Macedonia,Other,2016,0,0,0.620972917,0.379027083
AL,Albania,Conventional thermal,2016,0,0,0,1
AL,Albania,Nuclear,2016,0,0,0,1
AL,Albania,Hydro,2016,7136,1,0,1
AL,Albania,Pumped hydro power,2016,0,0,0,1
AL,Albania,Wind,2016,0,0,0,1
AL,Albania,Solar,2016,0,0,0,1
AL,Albania,Geothermal,2016,0,0,0,1
AL,Albania,Other,2016,0,0,0,1
RS,Serbia,Conventional thermal,2016,25161,0.673546418,0.673546418,0.326453582
RS,Serbia,Nuclear,2016,0,0,0.673546418,0.326453582
RS,Serbia,Hydro,2016,11429,0.305948174,0.673546418,0.326453582
RS,Serbia,Pumped hydro power,2016,728,0.019488168,0.673546418,0.326453582
RS,Serbia,Wind,2016,26,0.000696006,0.673546418,0.326453582
RS,Serbia,Solar,2016,12,0.000321234,0.673546418,0.326453582
RS,Serbia,Geothermal,2016,0,0,0.673546418,0.326453582
RS,Serbia,Other,2016,0,0,0.673546418,0.326453582
TR,Turkey,Conventional thermal,2016,174166,0.664915609,0.664915609,0.332484529
TR,Turkey,Nuclear,2016,0,0,0.664915609,0.332484529
TR,Turkey,Hydro,2016,66686,0.254587935,0.664915609,0.332484529
TR,Turkey,Pumped hydro power,2016,0,0,0.664915609,0.332484529
TR,Turkey,Wind,2016,15381,0.058720227,0.664915609,0.332484529
TR,Turkey,Solar,2016,1013,0.003867342,0.664915609,0.332484529
TR,Turkey,Geothermal,2016,4010,0.015309025,0.664915609,0.332484529
TR,Turkey,Other,2016,681,0.002599862,0.664915609,0.332484529
BA,Bosnia & Herzegovina,Conventional thermal,2016,10971,0.660545487,0.660545487,0.339454513
BA,Bosnia & Herzegovina,Nuclear,2016,0,0,0.660545487,0.339454513
BA,Bosnia & Herzegovina,Hydro,2016,5614,0.338009513,0.660545487,0.339454513
BA,Bosnia & Herzegovina,Pumped hydro power,2016,0,0,0.660545487,0.339454513
BA,Bosnia & Herzegovina,Wind,2016,0,0,0.660545487,0.339454513
BA,Bosnia & Herzegovina,Solar,2016,24,0.001445,0.660545487,0.339454513
BA,Bosnia & Herzegovina,Geothermal,2016,0,0,0.660545487,0.339454513
BA,Bosnia & Herzegovina,Other,2016,0,0,0.660545487,0.339454513
UA,Ukraine,Conventional thermal,2016,65415,0.426095283,0.426095283,0.078796524
UA,Ukraine,Nuclear,2016,75931,0.494593609,0.426095283,0.078796524
UA,Ukraine,Hydro,2016,9025,0.058786363,0.426095283,0.078796524
UA,Ukraine,Pumped hydro power,2016,1633,0.010636912,0.426095283,0.078796524
UA,Ukraine,Wind,2016,949,0.006181524,0.426095283,0.078796524
UA,Ukraine,Solar,2016,490,0.003191725,0.426095283,0.078796524
UA,Ukraine,Geothermal,2016,0,0,0.426095283,0.078796524
UA,Ukraine,Other,2016,79,0.000514584,0.426095283,0.078796524
GE,Georgia,Conventional thermal,2016,2135,0.187857457,0.187857457,0.812142543
GE,Georgia,Nuclear,2016,0,0,0.187857457,0.812142543
GE,Georgia,Hydro,2016,9221,0.811350638,0.187857457,0.812142543
GE,Georgia,Pumped hydro power,2016,0,0,0.187857457,0.812142543
GE,Georgia,Wind,2016,9,0.000791905,0.187857457,0.812142543
GE,Georgia,Solar,2016,0,0,0.187857457,0.812142543
GE,Georgia,Geothermal,2016,0,0,0.187857457,0.812142543
GE,Georgia,Other,2016,0,0,0.187857457,0.812142543
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
