,country,country_name,type,level,year,amount,difference
288,MK,North Macedonia,Total net production,Total,2018,5203.736,-1919.764
292,MT,Malta,Energy supplied,Total,2016,2332.16,-1525
301,MT,Malta,Total net production,Total,2016,807.16,-1525
293,MT,Malta,Energy supplied,Total,2017,2455.826,-861.367
302,MT,Malta,Total net production,Total,2017,1594.459,-861.367
294,MT,Malta,Energy supplied,Total,2018,2509.14,-620.742
303,MT,Malta,Total net production,Total,2018,1888.398,-620.742
307,NL,Netherlands,Energy supplied,Total,2016,115946.625,-4914.372
316,NL,Netherlands,Total net production,Total,2016,111032.253,-4914.372
308,NL,Netherlands,Energy supplied,Total,2017,116971.246,-3506.212
317,NL,Netherlands,Total net production,Total,2017,113465.034,-3506.212
309,NL,Netherlands,Energy supplied,Total,2018,118412.371,-5861
318,NL,Netherlands,Total net production,Total,2018,112551.371,-5861
322,NO,Norway,Energy supplied,Total,2016,131229,17838
331,NO,Norway,Total net production,Total,2016,149067,17838
323,NO,Norway,Energy supplied,Total,2017,131824,16818
332,NO,Norway,Total net production,Total,2017,148642,16818
324,NO,Norway,Energy supplied,Total,2018,135674.508,11170.679
333,NO,Norway,Total net production,Total,2018,146845.187,11170.679
337,PL,Poland,Energy supplied,Total,2016,153258,-1255
346,PL,Poland,Total net production,Total,2016,152003,-1255
338,PL,Poland,Energy supplied,Total,2017,156421.464,-1552.12
347,PL,Poland,Total net production,Total,2017,154869.344,-1552.12
339,PL,Poland,Energy supplied,Total,2018,159130.403,-5033.903
348,PL,Poland,Total net production,Total,2018,154096.5,-5033.903
352,PT,Portugal,Energy supplied,Total,2016,52257.052,6605
361,PT,Portugal,Total net production,Total,2016,58862.052,6605
353,PT,Portugal,Energy supplied,Total,2017,52761.107,4907.871
362,PT,Portugal,Total net production,Total,2017,57668.978,4907.871
354,PT,Portugal,Energy supplied,Total,2018,53862,4223
363,PT,Portugal,Total net production,Total,2018,58085,4223
367,RO,Romania,Energy supplied,Total,2016,54579,5677
376,RO,Romania,Total net production,Total,2016,60256,5677
368,RO,Romania,Energy supplied,Total,2017,55995.38,3360.05
377,RO,Romania,Total net production,Total,2017,59355.43,3360.05
369,RO,Romania,Energy supplied,Total,2018,56178,2544
378,RO,Romania,Total net production,Total,2018,58722,2544
382,RS,Serbia,Energy supplied,Total,2016,33677,2951
391,RS,Serbia,Total net production,Total,2016,36628,2951
383,RS,Serbia,Energy supplied,Total,2017,34185.552,113
392,RS,Serbia,Total net production,Total,2017,34298.552,113
384,RS,Serbia,Energy supplied,Total,2018,34279.742,961.444
393,RS,Serbia,Total net production,Total,2018,35241.186,961.444
397,SE,Sweden,Energy supplied,Total,2016,140626,11905
406,SE,Sweden,Total net production,Total,2016,152531,11905
398,SE,Sweden,Energy supplied,Total,2017,141498,19028
407,SE,Sweden,Total net production,Total,2017,160526,19028
399,SE,Sweden,Energy supplied,Total,2018,141001.499,17285.589
408,SE,Sweden,Total net production,Total,2018,158287.088,17285.589
412,SI,Slovenia,Energy supplied,Total,2016,13997,1549
421,SI,Slovenia,Total net production,Total,2016,15546,1549
413,SI,Slovenia,Energy supplied,Total,2017,14515.916,880.96
422,SI,Slovenia,Total net production,Total,2017,15396.876,880.96
414,SI,Slovenia,Energy supplied,Total,2018,14529.653,754.601
423,SI,Slovenia,Total net production,Total,2018,15284.254,754.601
427,SK,Slovakia,Energy supplied,Total,2016,27314,-2317
436,SK,Slovakia,Total net production,Total,2016,24997,-2317
428,SK,Slovakia,Energy supplied,Total,2017,28302,-2610
437,SK,Slovakia,Total net production,Total,2017,25692,-2610
429,SK,Slovakia,Energy supplied,Total,2018,26997,-3280
438,SK,Slovakia,Total net production,Total,2018,23717,-3280
442,TR,Turkey,Energy supplied,Total,2016,266815,-4878
451,TR,Turkey,Total net production,Total,2016,261937,-4878
443,TR,Turkey,Energy supplied,Total,2017,283682.114,575.405
452,TR,Turkey,Total net production,Total,2017,284257.519,575.405
444,TR,Turkey,Energy supplied,Total,2018,288675.006,607.572
453,TR,Turkey,Total net production,Total,2018,289282.578,607.572
457,UA,Ukraine,Energy supplied,Total,2016,146503,5386
466,UA,Ukraine,Total net production,Total,2016,151889,5386
458,UA,Ukraine,Energy supplied,Total,2017,138155.6,6750.2
467,UA,Ukraine,Total net production,Total,2017,144905.8,6750.2
459,UA,Ukraine,Energy supplied,Total,2018,156020.2,3052.3
468,UA,Ukraine,Total net production,Total,2018,159072.5,3052.3
