country,country_name,type,level,2016,2017,2018,2016_ratio,2017_ratio,2018_ratio
IT,Italy,Conventional thermal,Level 1,190121.0,199722.444,185046.0,0.675318680576889,0.6956749613674706,0.6565034448993493
IT,Italy,Nuclear,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
IT,Italy,Hydro,Level 1,43784.622,37556.721000000005,49275.0,0.155525024371836,0.1308178986171623,0.17481711167717995
IT,Italy,Pumped hydro power,Level 2,1825.204,1825.96,1632.0,0.0064832099403204285,0.006360199820399488,0.005789985312169612
IT,Italy,Wind,Level 1,17523.0,17565.332,17318.0,0.062242515238973214,0.06118371784248142,0.06144054266921161
IT,Italy,Solar,Level 1,21757.0,24016.821,22887.0,0.07728188118782972,0.08365560067622875,0.08119815798996687
IT,Italy,Geothermal,Level 1,5867.0,5821.46,5708.0,0.020839858295215195,0.02027736031811365,0.02025075745212264
IT,Italy,Other,Level 1,650.0,582.871,0.0,0.002308830388936403,0.0020302613581437,0.0
CY,Cyprus,Conventional thermal,Level 1,4295.0,4394.819,4380.142999999999,0.9201656169565849,0.9197491566002829,0.9142277793026006
CY,Cyprus,Nuclear,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
CY,Cyprus,Hydro,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
CY,Cyprus,Pumped hydro power,Level 2,0.0,0.0,0.0,0.0,0.0,0.0
CY,Cyprus,Wind,Level 1,226.701,211.448,220.613,0.04856867649119319,0.04425190654377725,0.04604656356545543
CY,Cyprus,Solar,Level 1,145.937,172.013,190.329,0.03126570655222192,0.035998936855939793,0.03972565713194402
CY,Cyprus,Geothermal,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
CY,Cyprus,Other,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
LV,Latvia,Conventional thermal,Level 1,3277.0,2520.3830000000003,3962.0,0.5528935380462291,0.3587805819305413,0.6095384615384616
LV,Latvia,Nuclear,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
LV,Latvia,Hydro,Level 1,2523.0,4355.513,2418.0,0.42567909566391093,0.6200142949488382,0.372
LV,Latvia,Pumped hydro power,Level 2,0.0,0.0,0.0,0.0,0.0,0.0
LV,Latvia,Wind,Level 1,127.0,148.523,120.0,0.021427366289859962,0.02114248841151118,0.018461538461538463
LV,Latvia,Solar,Level 1,0.0,0.44,0.0,0.0,6.263470910946398e-05,0.0
LV,Latvia,Geothermal,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
LV,Latvia,Other,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
LT,Lithuania,Conventional thermal,Level 1,1566.0,1165.3000000000002,802.8350000000002,0.3383751080380294,0.2553466561486546,0.21717148901787206
LT,Lithuania,Nuclear,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
LT,Lithuania,Hydro,Level 1,1027.0,1164.6,940.677,0.22191011235955055,0.2551932684722587,0.25445854350503505
LT,Lithuania,Pumped hydro power,Level 2,577.0,567.5,513.6840000000001,0.12467588591184096,0.12435358050661757,0.1389544790207908
LT,Lithuania,Wind,Level 1,1130.0,1356.2,1136.357,0.24416594641313744,0.2971776667543167,0.307391109936515
LT,Lithuania,Solar,Level 1,66.0,67.0,80.01400000000001,0.014261019878997408,0.014681391883600665,0.02164424760041106
LT,Lithuania,Geothermal,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
LT,Lithuania,Other,Level 1,262.0,243.0,223.212,0.05661192739844425,0.053247436234551665,0.06038013091937602
LU,Luxembourg,Conventional thermal,Level 1,449.564,450.167,463.132,0.1258452052804353,0.12737681854914468,0.13611856986329715
LU,Luxembourg,Nuclear,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
LU,Luxembourg,Hydro,Level 1,1516.352,1411.286,1326.3289999999995,0.4244682152427655,0.3993298503509769,0.3898197633681477
LU,Luxembourg,Pumped hydro power,Level 2,1404.667,1329.398,1237.554,0.39320454254711945,0.3761592649518864,0.36372800974366454
LU,Luxembourg,Wind,Level 1,101.486,234.823,263.708,0.02840869487568012,0.06644424549592885,0.07750610154666568
LU,Luxembourg,Solar,Level 1,100.288,108.462,111.693,0.028073342053999643,0.03068982065206319,0.032827555478224885
LU,Luxembourg,Geothermal,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
LU,Luxembourg,Other,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
HU,Hungary,Conventional thermal,Level 1,13156.0,14096.0,13489.644,0.44524164072018413,0.45951232233668016,0.45343525598877227
HU,Hungary,Nuclear,Level 1,15162.0,15206.0,14854.662,0.5131311763909571,0.49569696179423656,0.4993184005891251
HU,Hungary,Hydro,Level 1,253.0,214.0,215.862,0.008562339244618924,0.006976137697222585,0.0072558950575899814
HU,Hungary,Pumped hydro power,Level 2,0.0,0.0,0.0,0.0,0.0,0.0
HU,Hungary,Wind,Level 1,665.0,737.0,589.406,0.022505753350480575,0.024025296648846003,0.019812046966644802
HU,Hungary,Solar,Level 1,241.0,346.0,594.258,0.008156220387166645,0.011279175902986048,0.019975140066956238
HU,Hungary,Geothermal,Level 1,0.0,1.0,6.047,0.0,3.259877428608684e-05,0.00020326133091163158
HU,Hungary,Other,Level 1,71.0,76.0,0.0,0.0024028699065926627,0.0024775068457426,0.0
MT,Malta,Conventional thermal,Level 1,680.0,1439.156,1716.4900000000002,0.8424599831508004,0.9025983107750027,1.0
MT,Malta,Nuclear,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
MT,Malta,Hydro,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
MT,Malta,Pumped hydro power,Level 2,0.0,0.0,0.0,0.0,0.0,0.0
MT,Malta,Wind,Level 1,0.0,0.058,0.0,0.0,3.6375974546852576e-05,0.0
MT,Malta,Solar,Level 1,127.16,155.245,0.0,0.15754001684919966,0.09736531325045047,0.0
MT,Malta,Geothermal,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
MT,Malta,Other,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
NL,Netherlands,Conventional thermal,Level 1,97271.8,97231.607,94450.0,0.8760679655847388,0.8569301358513672,0.8391723633468667
NL,Netherlands,Nuclear,Level 1,3750.0,3277.664,3313.371,0.0337739701634263,0.028886996147200732,0.029438744020274975
NL,Netherlands,Hydro,Level 1,100.079,60.757,86.0,0.0009013507093294774,0.0005354689269295068,0.0007640955346514616
NL,Netherlands,Pumped hydro power,Level 2,0.0,0.0,0.0,0.0,0.0,0.0
NL,Netherlands,Wind,Level 1,8170.462,10568.797,12279.0,0.07358638394917556,0.09314584967206727,0.10909684965099181
NL,Netherlands,Solar,Level 1,1601.811,2204.344,2423.0,0.014426537845719477,0.019427518084558105,0.021527947447215014
NL,Netherlands,Geothermal,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
NL,Netherlands,Other,Level 1,138.101,121.865,0.0,0.0012437917476104893,0.0010740313178771884,0.0
AT,Austria,Conventional thermal,Level 1,18065.01,20135.846,16350.754,0.2666629527246923,0.28211733029499125,0.20700989003331452
AT,Austria,Nuclear,Level 1,0.0,0.0,0.0,0.0,0.0,0.0
AT,Austria,Hydro,Level 1,40772.188,40098.554,37217.295000000006,0.6018503195473608,0.5618088757318437,0.47119222424161156
AT,Austria,Pumped hydro power,Level 2,2883.861,3683.851,13397.582,0.042569524705914026,0.051613337195990365,0.1696210447868223
AT,Austria,Wind,Level 1,4968.262,6239.497,5857.059,0.07333798402712677,0.08741973076391263,0.0741537142267956
