country,country_name,year,Conventional thermal,Nuclear,Hydro,Pumped hydro power,Wind,Solar,Geothermal,Other,total,renewable,renewable_rate
GE,Georgia,2016,2135,0,9221,0,9,0,0,0,11365,9230,81.21425429
GE,Georgia,2017,2131.3,0,9096.8,0,87.7,0,0,0,11315.8,9184.5,81.16527333
GE,Georgia,2018,2114.901,0,9949.387,0,84.226,0,0,0,12148.514,10033.613,82.59127824
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
A,3,,,,,,,,,,,,
B,3,,,,,,,,,,,,
C,3,,,,,,,,,,,,
A,3,,,,,,,,,,,,
B,1,,,,,,,,,,,,
C,2,,,,,,,,,,,,
A,2,,,,,,,,,,,,
B,3,,,,,,,,,,,,
C,2,,,,,,,,,,,,
A,1,,,,,,,,,,,,
B,3,,,,,,,,,,,,
C,2,,,,,,,,,,,,
9,,,,,,,,,,,,,
