country,country_name,type,year,value,ratio,conventional_thermal,renewable_rate
RS,Serbia,Geothermal,A,0,0,0.673546418,0.326453582
RS,Serbia,Other,A,0,0,0.673546418,0.326453582
TR,Turkey,Conventional thermal,A,174166,0.664915609,0.664915609,0.332484529
TR,Turkey,Nuclear,A,0,0,0.664915609,0.332484529
TR,Turkey,Hydro,A,66686,0.254587935,0.664915609,0.332484529
TR,Turkey,Pumped hydro power,A,0,0,0.664915609,0.332484529
TR,Turkey,Wind,A,15381,0.058720227,0.664915609,0.332484529
TR,Turkey,Solar,A,1013,0.003867342,0.664915609,0.332484529
TR,Turkey,Geothermal,A,4010,0.015309025,0.664915609,0.332484529
TR,Turkey,Other,A,681,0.002599862,0.664915609,0.332484529
BA,Bosnia & Herzegovina,Conventional thermal,A,10971,0.660545487,0.660545487,0.339454513
BA,Bosnia & Herzegovina,Nuclear,A,0,0,0.660545487,0.339454513
BA,Bosnia & Herzegovina,Hydro,A,5614,0.338009513,0.660545487,0.339454513
BA,Bosnia & Herzegovina,Pumped hydro power,A,0,0,0.660545487,0.339454513
BA,Bosnia & Herzegovina,Wind,A,0,0,0.660545487,0.339454513
BA,Bosnia & Herzegovina,Solar,A,24,0.001445,0.660545487,0.339454513
BA,Bosnia & Herzegovina,Geothermal,A,0,0,0.660545487,0.339454513
BA,Bosnia & Herzegovina,Other,A,0,0,0.660545487,0.339454513
UA,Ukraine,Conventional thermal,A,65415,0.426095283,0.426095283,0.078796524
UA,Ukraine,Nuclear,A,75931,0.494593609,0.426095283,0.078796524
UA,Ukraine,Hydro,A,9025,0.058786363,0.426095283,0.078796524
UA,Ukraine,Pumped hydro power,A,1633,0.010636912,0.426095283,0.078796524
UA,Ukraine,Wind,A,949,0.006181524,0.426095283,0.078796524
UA,Ukraine,Solar,A,490,0.003191725,0.426095283,0.078796524
UA,Ukraine,Geothermal,A,0,0,0.426095283,0.078796524
UA,Ukraine,Other,A,79,0.000514584,0.426095283,0.078796524
GE,Georgia,Conventional thermal,A,2135,0.187857457,0.187857457,0.812142543
GE,Georgia,Nuclear,A,0,0,0.187857457,0.812142543
